Bareeza Net,China Net,64
Can Can Net,China Net,95
Kasab China Net,China Net,50
Bareeza Net Kaala,China Net Rangdaar,68
Kasab Net Kaala,China Net Rangdaar,54
China Tissue,China Tissue,70
6A Bara Crinkle,Crinkle,125
6A Chota Crinkle,Crinkle,210
7A Multi Crinkle,Crinkle,245
Brown Rose Crinkle,Crinkle,135
Classic Crinkle,Crinkle,120
Diamond PK Crinkle,Crinkle,160
Double Saima Crinkle,Crinkle,110
Hoor-E-Arab Crinkle,Crinkle,85
M Crinkle,Crinkle,195
Miss Pakistan Crinkle,Crinkle,100
Miss World Crinkle,Crinkle,105
Nayaab Crinkle,Crinkle,200
NN Bindi Crinkle,Crinkle,105
Nokia Crinkle,Crinkle,120
Red Rose Crinkle,Crinkle,140
Sohnee Crinkle,Crinkle,210
Special Crinkle,Crinkle,110
White Rose Crinkle,Crinkle,160
Dupatta Maria B. 4 Border Rangdaar,Dupatta,300
Dupatta Maria B. 4 Border White,Dupatta,270
Dupatta Fancy Shawl,Dupatta,300
Dupatta Silk Barosha,Dupatta,192
Dupatta Tilla Barosha 2 Border,Dupatta,216
Dupatta Tilla Line,Dupatta,80
Rangdar Dupatta Tilla Line,Dupatta,88
2-A China Kataan,Kataan,115
3-A China Kataan,Kataan,120
A-China Kataan,Kataan,110
Green Kataan,Kataan,120
Queen Kataan Labba,Kataan,110
Resham Kataan Labba,Kataan,110
Khadi Net Dupatta,Khaadi Net,80
Khadi Net Kameez,Khaadi Net,75
Lorex Orgenza Jaal,Orgenza,220
Orgenza Bindi Tilla Pure,Orgenza,150
Orgenza Check,Orgenza,80
Orgenza Check Tilla,Orgenza,65
Orgenza Loose Bhadia 2A,Orgenza,47
Orgenza Masoori,Orgenza,68
Orgenza Multi All Over,Orgenza,190
Orgenza Patti,Orgenza,50
Orgenza Pure Saada,Orgenza,90
Orgenza Saada Grw,Orgenza,45
Orgenza Tilla Line White,Dupatta,80
Orgenza Air Jet Band Kinari,Orgenza,49
Orgenza Water Jet Khulli Kinari,Orgenza,45
Orgenza Masoori Tilla,Orgenza Masoori,65
Malai Patti,Patti,55
Barfi Slub,Raw Silk / Slub,125
Golden Slub,Raw Silk / Slub,160
Gulaab Slub,Raw Silk / Slub,135
Indian Bhari Slub,Raw Silk / Slub,320
Mehak Slub,Raw Silk / Slub,150
Ravi Slub,Raw Silk / Slub,140
Raw Silk Labba,Raw Silk / Slub,120
Sun Slub,Raw Silk / Slub,145
5 Star Shameez,Resham Shameez,75
F-16 Shameez,Resham Shameez,77
Katrina Resham Kataan,Resham Shameez,115
Koriya Shameez,Resham Shameez,87.5
Resham Shameez,Resham Shameez,80
Resham Shameez Bhadia,Resham Shameez,105
Decent Russian,Russian,165
KK Russian,Russian,160
Malai Russian,Russian,125
McDonald Russian,Russian,163
Queen Russian,Russian,150
Rasmalai Russian,Russian,125
Shawl Moos,Russian,110
Supreme Russian,Russian,160
Sweet Russian,Russian,130
Rangdaar Shabnam,Shabnam,92
China Silk Shafoon,Shafoon,170
Double Red Rose Shafoon,Shafoon,160
Karatey Shafoon,Shafoon,80
Pure Jaal Barosha,Shafoon,190
Viscose Loose Shuttle-less,Viscose,145
Viscose Loose Kanni Kataan,Viscose,115