Bareeza Net,China Net
Can Can Net,China Net
Kasab China Net,China Net
Bareeza Net Kaala,China Net Rangdaar
Kasab Net Kaala,China Net Rangdaar
China Tissue,China Tissue
6A Bara Crinkle,Crinkle
6A Chota Crinkle,Crinkle
7A Multi Crinkle,Crinkle
Brown Rose Crinkle,Crinkle
Classic Crinkle,Crinkle
Diamond PK Crinkle,Crinkle
Double Saima Crinkle,Crinkle
Hoor-E-Arab Crinkle,Crinkle
M Crinkle,Crinkle
Miss Pakistan Crinkle,Crinkle
Miss World Crinkle,Crinkle
Nayaab Crinkle,Crinkle
NN Bindi Crinkle,Crinkle
Nokia Crinkle,Crinkle
Red Rose Crinkle,Crinkle
Sohnee Crinkle,Crinkle
Special Crinkle,Crinkle
White Rose Crinkle,Crinkle
Dupatta Maria B. 4 Border White,Dupatta
Orgenza Tilla Line White,Dupatta
4 Border Rangoli,Dupatta
Orgenza 2 Border,Dupatta
Orgenza 2 Border Tilla,Dupatta
2-A China Kataan,Kataan
3-A China Kataan,Kataan
A-China Kataan,Kataan
Queen Kataan Labba,Kataan
China Kataan,Kataan
Khadi Net Dupatta,Khaadi Net
Khadi Net Kameez,Khaadi Net
Lorex Orgenza Jaal,Orgenza
Orgenza Check,Orgenza
Orgenza Check Tilla,Orgenza
Orgenza Loose Bhadia 2A,Orgenza
Orgenza Masoori,Orgenza
Orgenza Patti,Orgenza
Orgenza Pure Saada,Orgenza
Orgenza Saada Grw,Orgenza
Orgenza Water Jet Khulli Kinari,Orgenza
Orgenza Barosha Kameez,Orgenza
Orgenza Barosha Dupatta,Orgenza
Orgenza 4 Border Rangdaar,Orgenza
Orgenza Lorex Bindi,Orgenza
Orgenza Rangoli Tilla,Orgenza
Orgenza Tilla Line All over,Orgenza
Orgenza Jaal Rangdaar,Orgenza
Orgenza Masoori Tilla,Orgenza Masoori
Malai Patti,Patti
Orgenza Golden Patti,Patti
Barfi Slub,Raw Silk / Slub
Golden Slub,Raw Silk / Slub
Gulaab Slub,Raw Silk / Slub
Indian Bhari Slub,Raw Silk / Slub
Ravi Slub,Raw Silk / Slub
Raw Silk Labba,Raw Silk / Slub
Sun Slub,Raw Silk / Slub
5 Star Slub,Raw Silk / Slub
5 Star Shameez,Resham Shameez
F-16 Shameez,Resham Shameez
Katrina Resham Kataan,Resham Shameez
Koriya Shameez,Resham Shameez
Resham Shameez,Resham Shameez
Resham Shameez Bhadia,Resham Shameez
Decent Russian,Russian
KK Russian,Russian
Malai Russian,Russian
McDonald Russian,Russian
Queen Russian,Russian
Rasmalai Russian,Russian
Shawl Moos,Russian
Supreme Russian,Russian
Sweet Russian,Russian
Double Super Russian,Russian
Gulaab Jamun,Russian
China Silk Shafoon,Shafoon
Double Red Rose Shafoon,Shafoon
Karatey Shafoon,Shafoon
Viscose Loose Shuttle-less,Viscose
Viscose Loose Kanni Kataan,Viscose
Paper Cotton,Paper Cotton
Masoori Paris,Masoori
Orgenza Slub,Orgenza Slub
Orgenza Net Slub,Orgenza Slub
USB Self,Self Shafoon
Orgenza Multi Barosha,Barosha
Orgenza Barosha Rangdaar,Barosha